Time,Open,High,Low,Last,Change,%Chg,Volume
09/27/2022,58.431,59.185,58.012,59.185,1.349,+2.33%,553
09/26/2022,57.727,58.386,57.727,57.836,0.114,+0.20%,471
09/23/2022,59.675,59.675,57.1,57.722,-1.876,-3.15%,451
09/22/2022,61.346,61.362,59.359,59.598,-1.77,-2.88%,565
09/21/2022,61.483,62.042,60.508,61.368,-0.124,-0.20%,584
09/20/2022,60.044,61.492,59.99,61.492,1.448,+2.41%,389
09/19/2022,60.585,60.585,60.04,60.044,-0.579,-0.96%,267
09/16/2022,59.606,60.623,59.606,60.623,1.031,+1.73%,496
09/15/2022,59.69,60.112,59.543,59.592,-0.099,-0.17%,1002
09/14/2022,60.276,60.351,59.662,59.691,-0.507,-0.84%,784
09/13/2022,60.476,60.524,59.959,60.198,-0.292,-0.48%,539
09/12/2022,60.649,60.783,60.213,60.49,-0.094,-0.16%,332
09/09/2022,60.985,60.985,60.339,60.584,-0.364,-0.60%,428
09/08/2022,60.961,61.201,60.703,60.948,-0.028,-0.05%,456
09/07/2022,61.313,61.313,60.914,60.976,-0.343,-0.56%,425
09/06/2022,61.253,61.585,60.656,61.319,0.045,+0.07%,442
09/05/2022,60.237,61.274,60.232,61.274,1.032,+1.71%,357
09/02/2022,60.491,60.491,60.24,60.242,-0.274,-0.45%,244
09/01/2022,60.284,60.574,60.072,60.516,0.217,+0.36%,319
08/31/2022,60.889,60.889,60.07,60.299,-0.664,-1.09%,388
08/30/2022,61.324,61.324,60.655,60.963,-0.331,-0.54%,289
08/29/2022,60.631,61.504,60.597,61.294,0.655,+1.08%,217
08/26/2022,60.206,60.639,59.967,60.639,0.389,+0.65%,366
08/25/2022,59.8,60.355,59.57,60.25,0.453,+0.76%,344
08/24/2022,60.105,60.105,59.79,59.797,-0.299,-0.50%,475
08/23/2022,59.997,60.304,59.693,60.096,0.082,+0.14%,436
08/22/2022,59.427,60.114,59.164,60.014,0.623,+1.05%,360
